eps,max_query_length,subset_id,subset_max_length,mean_error,std_error,num_evals
0.1,20,0,4.0,0.10050318228246244989,0.01827014251467023366,10
0.1,20,1,8.0,0.04864027323990686713,0.008272978951256517724,10
0.1,20,2,12.0,0.033379588482216580175,0.003918621447373779921,10
0.1,20,3,16.0,0.023672347265869833968,0.0044016823954353006698,10
0.1,20,4,20.0,0.019535826640213492175,0.0026492952893898660712,10
0.2,20,0,4.0,0.089699862375991892824,0.020477737104605980382,10
0.2,20,1,8.0,0.04516323864126266449,0.008431027419695092791,10
0.2,20,2,12.0,0.029889029749423005889,0.0054773765510469171043,10
0.2,20,3,16.0,0.022457166253490062902,0.0056428554626114636575,10
0.2,20,4,20.0,0.017315097943480109443,0.0032969301950447346774,10
0.5,20,0,4.0,0.08572562141107964162,0.0075617655385528512982,10
0.5,20,1,8.0,0.041426289871248315328,0.0026561963739046464757,10
0.5,20,2,12.0,0.028227597948331555055,0.002466604180960313411,10
0.5,20,3,16.0,0.02165782273243683463,0.0036115425455661873902,10
0.5,20,4,20.0,0.017623067098925549248,0.0019775837447895717143,10
0.8,20,0,4.0,0.09017466917120688097,0.010836486588753907737,10
0.8,20,1,8.0,0.043352466022749160113,0.0053247834202926214274,10
0.8,20,2,12.0,0.029086619427021920964,0.0049757011030442517568,10
0.8,20,3,16.0,0.02383008799685649437,0.004295896382867035872,10
0.8,20,4,20.0,0.017537596241154052023,0.0027080713912435032634,10
1.0,20,0,4.0,0.09022077466480525887,0.011746321366978816569,10
1.0,20,1,8.0,0.046769110804237475077,0.0076586249232232739653,10
1.0,20,2,12.0,0.03110770053608199158,0.0057389606205667105463,10
1.0,20,3,16.0,0.023115798426160186901,0.0033713045312526007698,10
1.0,20,4,20.0,0.01904030305537323716,0.0031873332053460224118,10

0.1,20,0,4.0,0.0,0.0,100
0.1,20,1,8.0,0.0,0.0,100
0.1,20,2,12.0,0.0,0.0,100
0.1,20,3,16.0,0.0,0.0,100
0.1,20,4,20.0,0.0,0.0,100
0.2,20,0,4.0,0.0,0.0,100
0.2,20,1,8.0,0.0,0.0,100
0.2,20,2,12.0,0.0,0.0,100
0.2,20,3,16.0,0.0,0.0,100
0.2,20,4,20.0,0.0,0.0,100
0.5,20,0,4.0,0.0,0.0,100
0.5,20,1,8.0,0.0,0.0,100
0.5,20,2,12.0,0.0,0.0,100
0.5,20,3,16.0,0.0,0.0,100
0.5,20,4,20.0,0.0,0.0,100
0.8,20,0,4.0,0.0,0.0,100
0.8,20,1,8.0,0.0,0.0,100
0.8,20,2,12.0,0.0,0.0,100
0.8,20,3,16.0,0.0,0.0,100
0.8,20,4,20.0,0.0,0.0,100
1.0,20,0,4.0,0.0,0.0,100
1.0,20,1,8.0,0.0,0.0,100
1.0,20,2,12.0,0.0,0.0,100
1.0,20,3,16.0,0.0,0.0,100
1.0,20,4,20.0,0.0,0.0,100
0.1,20,0,4.0,0.08803491125643580356,0.0012231523792475759715,2
0.1,20,1,8.0,0.046071676317264779327,0.0038545263539888525994,2
0.1,20,2,12.0,0.026946826572157429186,0.0034842615263672750692,2
0.1,20,3,16.0,0.022623110172672161386,0.0031102438633101667925,2
0.1,20,4,20.0,0.017593492128651690501,0.0005454569081008633219,2
0.2,20,0,4.0,0.083523463377487339176,0.0024029974100243239876,2
0.2,20,1,8.0,0.04269910877435704674,0.007050875665552566035,2
0.2,20,2,12.0,0.024345495632777044287,0.0032102247518012959338,2
0.2,20,3,16.0,0.019552766681412977329,0.001094845321997099663,2
0.2,20,4,20.0,0.017216816413709772407,0.0010505734755237357975,2
0.5,20,0,4.0,0.08064504682956478293,0.0009913317772453147936,2
0.5,20,1,8.0,0.038805710553559240317,0.0014020257988749049161,2
0.5,20,2,12.0,0.027665258523032977903,0.0010078405693288976924,2
0.5,20,3,16.0,0.02043025427226728176,0.0020679986429909830853,2
0.5,20,4,20.0,0.013816217552827381523,0.00038493509225124948603,2
0.8,20,0,4.0,0.08611831043096122157,0.0014937773817597990722,2
0.8,20,1,8.0,0.040199805550500428142,0.0014019877391791973897,2
0.8,20,2,12.0,0.026402221602635727801,0.0011483074348382932978,2
0.8,20,3,16.0,0.021988896465271709144,0.00026816354773740759543,2
0.8,20,4,20.0,0.017025178611352108013,0.0008562293999488396895,2
1.0,20,0,4.0,0.076355293236793631007,0.0025620213971781213846,2
1.0,20,1,8.0,0.037476135180948898923,0.0011534108783322165326,2
1.0,20,2,12.0,0.030405155147240769606,0.00013733939321156247992,2
1.0,20,3,16.0,0.021240012653901328005,0.00023222253259122874192,2
1.0,20,4,20.0,0.015445840565564255761,0.00015425256770138472129,2
0.1,20,0,4.0,0.08411214985235257416,0.017989484150426299924,100
0.1,20,1,8.0,0.042258020872482731922,0.009495100858775812002,100
0.1,20,2,12.0,0.02837356930526220622,0.006418804332447885132,100
0.1,20,3,16.0,0.02145001899885690986,0.005089330768586610194,100
0.1,20,4,20.0,0.016727469300312600588,0.003998424189095773085,100
0.2,20,0,4.0,0.080466709810838696335,0.004950537242775344627,100
0.2,20,1,8.0,0.039880006168249230377,0.0033842088970068596086,100
0.2,20,2,12.0,0.026609998537499738764,0.0028550070908326266463,100
0.2,20,3,16.0,0.020316452255953221604,0.002267312473937773878,100
0.2,20,4,20.0,0.016087085402960462007,0.0018600914033506629772,100
0.5,20,0,4.0,0.07946246007635771255,0.0086553492162033212265,100
0.5,20,1,8.0,0.03932470849781116093,0.0050304755945707688907,100
0.5,20,2,12.0,0.025912478746118684966,0.0034815996339129550768,100
0.5,20,3,16.0,0.019901707934364343544,0.0029154380078310885057,100
0.5,20,4,20.0,0.01579547699741348888,0.0024747487771602970487,100
0.8,20,0,4.0,0.08129296978682272329,0.0036750514513774781991,100
0.8,20,1,8.0,0.040422676328694839565,0.0028984749031357879684,100
0.8,20,2,12.0,0.026629281334709439256,0.0021087032617049758328,100
0.8,20,3,16.0,0.019530118663837176453,0.002233253457741608282,100
0.8,20,4,20.0,0.016404404617054806174,0.0016026293723749366823,100
1.0,20,0,4.0,0.08129786069378684213,0.0035491662351782444423,100
1.0,20,1,8.0,0.04049237989552835988,0.0026032372668983426307,100
1.0,20,2,12.0,0.026954243412345977523,0.0023818214856239795857,100
1.0,20,3,16.0,0.020079758812332195658,0.0021275926399357079619,100
1.0,20,4,20.0,0.01586915899908538482,0.0018591856703104038035,100
